participant_id,sub,cohort,task,excluded,exclusion_reason
sub-CC410101,CC410101,camcan,Movie,False,
sub-CC410113,CC410113,camcan,Movie,False,
sub-CC410119,CC410119,camcan,Movie,False,
sub-CC410121,CC410121,camcan,Movie,False,
sub-CC410169,CC410169,camcan,Movie,False,
sub-CC410173,CC410173,camcan,Movie,False,
sub-CC410177,CC410177,camcan,Movie,False,
sub-CC410179,CC410179,camcan,Movie,False,
sub-CC410182,CC410182,camcan,Movie,False,
sub-CC410220,CC410220,camcan,Movie,False,
sub-CC410222,CC410222,camcan,Movie,False,
sub-CC410226,CC410226,camcan,Movie,False,
sub-CC410243,CC410243,camcan,Movie,False,
sub-CC410248,CC410248,camcan,Movie,False,
sub-CC410251,CC410251,camcan,Movie,False,
sub-CC410284,CC410284,camcan,Movie,False,
sub-CC410287,CC410287,camcan,Movie,False,
sub-CC410289,CC410289,camcan,Movie,False,
sub-CC410297,CC410297,camcan,Movie,False,
sub-CC410323,CC410323,camcan,Movie,False,
sub-CC410325,CC410325,camcan,Movie,False,
sub-CC410354,CC410354,camcan,Movie,False,
sub-CC410387,CC410387,camcan,Movie,False,
sub-CC410390,CC410390,camcan,Movie,False,
sub-CC410432,CC410432,camcan,Movie,False,
sub-CC412004,CC412004,camcan,Movie,False,
sub-CC412021,CC412021,camcan,Movie,False,
sub-CC420004,CC420004,camcan,Movie,False,
sub-CC420060,CC420060,camcan,Movie,False,
sub-CC420061,CC420061,camcan,Movie,False,
sub-CC420071,CC420071,camcan,Movie,False,
sub-CC420075,CC420075,camcan,Movie,False,
sub-CC420089,CC420089,camcan,Movie,False,
sub-CC420091,CC420091,camcan,Movie,False,
sub-CC420094,CC420094,camcan,Movie,False,
sub-CC420100,CC420100,camcan,Movie,False,
sub-CC420137,CC420137,camcan,Movie,False,
sub-CC420143,CC420143,camcan,Movie,False,
sub-CC420148,CC420148,camcan,Movie,False,
sub-CC420149,CC420149,camcan,Movie,False,
sub-CC420157,CC420157,camcan,Movie,False,
sub-CC420162,CC420162,camcan,Movie,False,
sub-CC420167,CC420167,camcan,Movie,False,
sub-CC420173,CC420173,camcan,Movie,False,
sub-CC420180,CC420180,camcan,Movie,False,
sub-CC420182,CC420182,camcan,Movie,False,
sub-CC420197,CC420197,camcan,Movie,False,
sub-CC420198,CC420198,camcan,Movie,False,
sub-CC420202,CC420202,camcan,Movie,False,
sub-CC420204,CC420204,camcan,Movie,False,
sub-CC420217,CC420217,camcan,Movie,False,
sub-CC420222,CC420222,camcan,Movie,False,
sub-CC420226,CC420226,camcan,Movie,False,
sub-CC420229,CC420229,camcan,Movie,False,
sub-CC420231,CC420231,camcan,Movie,False,
sub-CC420236,CC420236,camcan,Movie,False,
sub-CC420241,CC420241,camcan,Movie,False,
sub-CC420259,CC420259,camcan,Movie,False,
sub-CC420260,CC420260,camcan,Movie,False,
sub-CC420261,CC420261,camcan,Movie,False,
sub-CC420286,CC420286,camcan,Movie,False,
sub-CC420322,CC420322,camcan,Movie,False,
sub-CC420324,CC420324,camcan,Movie,False,
sub-CC420348,CC420348,camcan,Movie,False,
sub-CC420356,CC420356,camcan,Movie,False,
sub-CC420383,CC420383,camcan,Movie,False,
sub-CC420392,CC420392,camcan,Movie,False,
sub-CC420396,CC420396,camcan,Movie,False,
sub-CC420402,CC420402,camcan,Movie,False,
sub-CC420412,CC420412,camcan,Movie,False,
sub-CC420433,CC420433,camcan,Movie,False,
sub-CC420435,CC420435,camcan,Movie,False,
sub-CC420454,CC420454,camcan,Movie,False,
sub-CC420462,CC420462,camcan,Movie,False,
sub-CC420464,CC420464,camcan,Movie,False,
sub-CC420493,CC420493,camcan,Movie,False,
sub-CC420566,CC420566,camcan,Movie,False,
sub-CC420582,CC420582,camcan,Movie,False,
sub-CC420587,CC420587,camcan,Movie,False,
sub-CC420589,CC420589,camcan,Movie,False,
sub-CC420623,CC420623,camcan,Movie,False,
sub-CC420720,CC420720,camcan,Movie,False,
sub-CC420729,CC420729,camcan,Movie,False,
sub-CC420776,CC420776,camcan,Movie,False,
sub-CC420888,CC420888,camcan,Movie,False,
sub-CC510015,CC510015,camcan,Movie,False,
sub-CC510039,CC510039,camcan,Movie,False,
sub-CC510043,CC510043,camcan,Movie,False,
sub-CC510050,CC510050,camcan,Movie,False,
sub-CC510076,CC510076,camcan,Movie,False,
sub-CC510086,CC510086,camcan,Movie,False,
sub-CC510115,CC510115,camcan,Movie,False,
sub-CC510161,CC510161,camcan,Movie,False,
sub-CC510163,CC510163,camcan,Movie,False,
sub-CC510208,CC510208,camcan,Movie,False,
sub-CC510220,CC510220,camcan,Movie,False,
sub-CC510226,CC510226,camcan,Movie,False,
sub-CC510237,CC510237,camcan,Movie,False,
sub-CC510242,CC510242,camcan,Movie,False,
sub-CC510243,CC510243,camcan,Movie,False,
sub-CC510255,CC510255,camcan,Movie,False,
sub-CC510256,CC510256,camcan,Movie,False,
sub-CC510258,CC510258,camcan,Movie,False,
sub-CC510259,CC510259,camcan,Movie,False,
sub-CC510284,CC510284,camcan,Movie,False,
sub-CC510304,CC510304,camcan,Movie,False,
sub-CC510321,CC510321,camcan,Movie,False,
sub-CC510323,CC510323,camcan,Movie,False,
sub-CC510329,CC510329,camcan,Movie,False,
sub-CC510342,CC510342,camcan,Movie,False,
sub-CC510354,CC510354,camcan,Movie,False,
sub-CC510355,CC510355,camcan,Movie,False,
sub-CC510392,CC510392,camcan,Movie,False,
sub-CC510393,CC510393,camcan,Movie,False,
sub-CC510395,CC510395,camcan,Movie,False,
sub-CC510415,CC510415,camcan,Movie,False,
sub-CC510433,CC510433,camcan,Movie,False,
sub-CC510434,CC510434,camcan,Movie,False,
sub-CC510438,CC510438,camcan,Movie,False,
sub-CC510473,CC510473,camcan,Movie,False,
sub-CC510474,CC510474,camcan,Movie,False,
sub-CC510480,CC510480,camcan,Movie,False,
sub-CC510483,CC510483,camcan,Movie,False,
sub-CC510486,CC510486,camcan,Movie,False,
sub-CC510534,CC510534,camcan,Movie,False,
sub-CC510548,CC510548,camcan,Movie,False,
sub-CC510551,CC510551,camcan,Movie,False,
sub-CC510568,CC510568,camcan,Movie,False,
sub-CC510609,CC510609,camcan,Movie,False,
sub-CC510629,CC510629,camcan,Movie,False,
sub-CC510639,CC510639,camcan,Movie,False,
sub-CC510648,CC510648,camcan,Movie,False,
sub-CC512003,CC512003,camcan,Movie,False,
sub-CC520002,CC520002,camcan,Movie,False,
sub-CC520011,CC520011,camcan,Movie,False,
sub-CC520013,CC520013,camcan,Movie,False,
sub-CC520042,CC520042,camcan,Movie,False,
sub-CC520053,CC520053,camcan,Movie,False,
sub-CC520055,CC520055,camcan,Movie,False,
sub-CC520065,CC520065,camcan,Movie,False,
sub-CC520078,CC520078,camcan,Movie,False,
sub-CC520083,CC520083,camcan,Movie,False,
sub-CC520097,CC520097,camcan,Movie,False,
sub-CC520122,CC520122,camcan,Movie,False,
sub-CC520127,CC520127,camcan,Movie,False,
sub-CC520134,CC520134,camcan,Movie,False,
sub-CC520136,CC520136,camcan,Movie,False,
sub-CC520147,CC520147,camcan,Movie,False,
sub-CC520168,CC520168,camcan,Movie,False,
sub-CC520175,CC520175,camcan,Movie,False,
sub-CC520197,CC520197,camcan,Movie,False,
sub-CC520200,CC520200,camcan,Movie,False,
sub-CC520209,CC520209,camcan,Movie,False,
sub-CC520211,CC520211,camcan,Movie,False,
sub-CC520215,CC520215,camcan,Movie,False,
sub-CC520239,CC520239,camcan,Movie,False,
sub-CC520247,CC520247,camcan,Movie,False,
sub-CC520253,CC520253,camcan,Movie,False,
sub-CC520254,CC520254,camcan,Movie,False,
sub-CC520279,CC520279,camcan,Movie,False,
sub-CC520287,CC520287,camcan,Movie,False,
sub-CC520377,CC520377,camcan,Movie,False,
sub-CC520390,CC520390,camcan,Movie,False,
sub-CC520391,CC520391,camcan,Movie,False,
sub-CC520395,CC520395,camcan,Movie,False,
sub-CC520398,CC520398,camcan,Movie,False,
